student_id,item_id,review_index,days_since_last_review,prior_review_count,prior_success_rate,item_difficulty,student_ability,memory_strength_true,recalled
0,0,0,0.75,0,0.549,1.598,1.124,1.099,1
0,0,1,0.78,1,0.563,1.598,1.124,1.126,0
0,0,2,0.32,2,0.281,1.598,1.124,0.563,0
0,0,3,0.89,3,0.15,1.598,1.124,0.3,1
0,0,4,0.31,4,0.154,1.598,1.124,0.307,0
0,0,5,0.41,5,0.15,1.598,1.124,0.3,0
0,0,6,0.4,6,0.15,1.598,1.124,0.3,0
0,1,0,0.48,0,0.68,1.2,1.124,1.36,0
0,1,1,0.58,1,0.34,1.2,1.124,0.68,1
0,1,2,0.74,2,0.464,1.2,1.124,0.928,1
0,1,3,0.95,3,0.633,1.2,1.124,1.265,0
0,1,4,0.39,4,0.316,1.2,1.124,0.633,1
0,1,5,0.43,5,0.432,1.2,1.124,0.863,1
0,1,6,0.62,6,0.589,1.2,1.124,1.178,0
0,2,0,0.48,0,0.39,1.035,1.124,0.781,1
0,2,1,0.46,1,0.618,1.035,1.124,1.235,1
0,2,2,0.78,2,0.977,1.035,1.124,1.954,1
0,2,3,0.78,3,1.0,1.035,1.124,3.09,1
0,3,0,1.9,0,0.576,1.889,1.124,1.151,0
0,3,1,0.46,1,0.288,1.889,1.124,0.576,1
0,3,2,0.76,2,0.249,1.889,1.124,0.499,0
0,3,3,0.76,3,0.15,1.889,1.124,0.3,0
0,4,0,0.52,0,0.531,1.641,1.124,1.061,1
0,4,1,1.22,1,0.529,1.641,1.124,1.059,1
0,4,2,1.97,2,0.528,1.641,1.124,1.056,0
0,4,3,0.61,3,0.264,1.641,1.124,0.528,0
0,4,4,0.46,4,0.15,1.641,1.124,0.3,1
0,4,5,0.9,5,0.15,1.641,1.124,0.299,0
0,4,6,0.51,6,0.15,1.641,1.124,0.3,0
0,5,0,0.44,0,0.478,0.658,1.124,0.957,0
0,5,1,1.06,1,0.239,0.658,1.124,0.478,0
0,5,2,0.32,2,0.15,0.658,1.124,0.3,0
0,5,3,0.71,3,0.15,0.658,1.124,0.3,1
0,6,0,1.06,0,0.459,1.266,1.124,0.917,1
0,6,1,0.51,1,0.593,1.266,1.124,1.186,1
0,6,2,0.86,2,0.767,1.266,1.124,1.534,1
0,6,3,1.95,3,0.992,1.266,1.124,1.984,0
0,6,4,0.41,4,0.496,1.266,1.124,0.992,1
0,7,0,0.42,0,0.567,1.018,1.124,1.134,1
0,7,1,5.72,1,0.913,1.018,1.124,1.825,0
0,7,2,0.47,2,0.456,1.018,1.124,0.913,0
0,7,3,0.45,3,0.228,1.018,1.124,0.456,0
0,7,4,0.32,4,0.15,1.018,1.124,0.3,0
0,7,5,0.38,5,0.15,1.018,1.124,0.3,1
0,8,0,0.35,0,0.363,1.268,1.124,0.726,0
0,8,1,0.43,1,0.182,1.268,1.124,0.363,0
0,8,2,0.58,2,0.15,1.268,1.124,0.3,0
0,8,3,0.46,3,0.15,1.268,1.124,0.3,0
0,8,4,1.15,4,0.15,1.268,1.124,0.3,0
0,8,5,0.36,5,0.15,1.268,1.124,0.3,1
0,8,6,0.39,6,0.194,1.268,1.124,0.387,0
0,8,7,0.69,7,0.15,1.268,1.124,0.3,0
0,9,0,2.6,0,0.718,1.776,1.124,1.436,0
0,9,1,0.3,1,0.359,1.776,1.124,0.718,1
0,9,2,0.38,2,0.331,1.776,1.124,0.662,0
0,9,3,0.57,3,0.165,1.776,1.124,0.331,0
0,10,0,0.56,0,0.413,0.856,1.124,0.825,0
0,10,1,0.67,1,0.206,0.856,1.124,0.413,0
0,10,2,0.51,2,0.15,0.856,1.124,0.3,0
0,10,3,0.49,3,0.15,0.856,1.124,0.3,0
0,11,0,0.81,0,0.425,1.152,1.124,0.85,0
0,12,0,1.03,0,0.611,0.793,1.124,1.222,1
0,12,1,4.1,1,1.0,0.793,1.124,2.524,0
0,12,2,3.0,2,0.631,0.793,1.124,1.262,0
0,13,0,0.5,0,0.288,1.97,1.124,0.575,0
0,13,1,0.38,1,0.15,1.97,1.124,0.3,0
0,13,2,0.55,2,0.15,1.97,1.124,0.3,0
0,13,3,0.32,3,0.15,1.97,1.124,0.3,0
0,13,4,0.58,4,0.15,1.97,1.124,0.3,0
0,14,0,0.51,0,0.43,1.554,1.124,0.859,0
0,14,1,0.33,1,0.215,1.554,1.124,0.43,1
0,14,2,0.61,2,0.226,1.554,1.124,0.453,0
0,14,3,0.31,3,0.15,1.554,1.124,0.3,0
0,14,4,0.42,4,0.15,1.554,1.124,0.3,0
0,15,0,0.33,0,0.669,1.973,1.124,1.339,1
0,15,1,1.65,1,0.556,1.973,1.124,1.111,0
0,16,0,0.61,0,0.358,1.655,1.124,0.716,0
0,16,1,0.35,1,0.179,1.655,1.124,0.358,1
0,16,2,0.34,2,0.177,1.655,1.124,0.354,0
0,16,3,0.56,3,0.15,1.655,1.124,0.3,0
0,16,4,0.59,4,0.15,1.655,1.124,0.3,0
0,17,0,0.78,0,0.29,0.777,1.124,0.581,1
0,17,1,0.55,1,0.612,0.777,1.124,1.225,1
0,17,2,2.57,2,1.0,0.777,1.124,2.582,0
0,17,3,1.51,3,0.646,0.777,1.124,1.291,0
0,17,4,0.73,4,0.323,0.777,1.124,0.646,0
0,17,5,0.62,5,0.161,0.777,1.124,0.323,1
0,17,6,0.36,6,0.34,0.777,1.124,0.681,1
0,18,0,0.6,0,0.496,0.647,1.124,0.992,1
0,18,1,2.14,1,1.0,0.647,1.124,2.51,1
0,18,2,12.35,2,1.0,0.647,1.124,6.355,0
0,18,3,2.02,3,1.0,0.647,1.124,3.177,0
0,18,4,3.51,4,0.794,0.647,1.124,1.589,0
0,18,5,0.86,5,0.397,0.647,1.124,0.794,0
0,18,6,0.34,6,0.199,0.647,1.124,0.397,0
0,19,0,2.86,0,0.563,1.731,1.124,1.126,0
0,20,0,0.41,0,0.262,1.767,1.124,0.523,0
0,20,1,0.55,1,0.15,1.767,1.124,0.3,1
0,21,0,0.5,0,0.734,1.127,1.124,1.468,0
0,21,1,1.14,1,0.367,1.127,1.124,0.734,0
0,21,2,0.68,2,0.183,1.127,1.124,0.367,0
0,21,3,0.86,3,0.15,1.127,1.124,0.3,0
0,22,0,0.62,0,0.302,1.632,1.124,0.603,0
0,23,0,0.58,0,0.399,1.084,1.124,0.798,0
0,23,1,1.14,1,0.199,1.084,1.124,0.399,0
0,23,2,0.51,2,0.15,1.084,1.124,0.3,0
